mean,RMS,ptp,std,max,min
20.492,20.492,0.151,0.025,20.591,20.44
20.491,20.491,0.151,0.025,20.591,20.44
20.491,20.491,0.151,0.025,20.591,20.44
20.491,20.491,0.151,0.025,20.591,20.44
20.492,20.492,0.151,0.025,20.591,20.44
20.492,20.492,0.151,0.025,20.591,20.44
20.492,20.492,0.151,0.025,20.591,20.44
20.492,20.492,0.151,0.024,20.591,20.44
20.493,20.493,0.151,0.024,20.591,20.44
20.493,20.493,0.151,0.025,20.591,20.44
20.493,20.493,0.151,0.025,20.591,20.44
20.493,20.493,0.151,0.025,20.591,20.44
20.493,20.493,0.151,0.024,20.591,20.44
20.494,20.494,0.151,0.024,20.591,20.44
20.494,20.494,0.151,0.024,20.591,20.44
20.494,20.494,0.151,0.024,20.591,20.44
20.494,20.494,0.151,0.024,20.591,20.44
20.494,20.494,0.151,0.025,20.591,20.44
20.494,20.494,0.151,0.025,20.591,20.44
20.494,20.494,0.151,0.025,20.591,20.44
20.494,20.494,0.151,0.025,20.591,20.44
20.495,20.495,0.151,0.025,20.591,20.44
20.495,20.495,0.151,0.025,20.591,20.44
20.495,20.495,0.162,0.026,20.591,20.429
20.495,20.495,0.162,0.026,20.591,20.429
20.496,20.496,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.497,20.497,0.162,0.026,20.591,20.429
20.496,20.496,0.162,0.026,20.591,20.429
20.496,20.496,0.162,0.025,20.591,20.429
20.495,20.495,0.17,0.026,20.591,20.421
20.493,20.493,0.128,0.024,20.549,20.421
20.493,20.493,0.128,0.025,20.549,20.421
20.493,20.493,0.128,0.025,20.549,20.421
20.494,20.494,0.128,0.025,20.549,20.421
20.493,20.493,0.131,0.026,20.549,20.418
20.493,20.493,0.131,0.026,20.549,20.418
20.493,20.493,0.131,0.026,20.549,20.418
20.493,20.493,0.131,0.026,20.549,20.418
