"No.","Time","Source","Destination","Protocol","Address","Length","Name","Info"
"174","6.815270","10.169.156.72","142.250.184.118","TCP","","78","","49516  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=495590109 TSecr=0 SACK_PERM=1"
"175","6.817886","142.250.184.118","10.169.156.72","TCP","","74","","443  >  49516 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=3723984358 TSecr=495590109 WS=256"
"176","6.817947","10.169.156.72","142.250.184.118","TCP","","66","","49516  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=495590111 TSecr=3723984358"
"177","6.818121","10.169.156.72","142.250.184.118","TLSv1.3","","583","","Client Hello"
"178","6.819285","10.169.156.72","172.25.1.1","DNS","","93","r2---sn-b5gg-ca9l.googlevideo.com","Standard query 0x7964 A r2---sn-b5gg-ca9l.googlevideo.com"
"179","6.821438","172.25.1.1","10.169.156.72","DNS","193.206.135.77","139","r2---sn-b5gg-ca9l.googlevideo.com","Standard query response 0x7964 A r2---sn-b5gg-ca9l.googlevideo.com CNAME r2.sn-b5gg-ca9l.googlevideo.com A 193.206.135.77"
"180","6.821862","10.169.156.72","193.206.135.77","TCP","","78","","49517  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=495590114 TSecr=0 SACK_PERM=1"
"181","6.821949","142.250.184.118","10.169.156.72","TCP","","66","","443  >  49516 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=3723984363 TSecr=495590111"
"182","6.821955","10.169.156.72","193.206.135.77","TCP","","78","","49518  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=495590114 TSecr=0 SACK_PERM=1"
"183","6.822700","10.169.156.72","172.25.1.1","DNS","","77","fonts.gstatic.com","Standard query 0xfe24 A fonts.gstatic.com"
"184","6.822732","216.58.208.170","10.169.156.72","TLSv1.3","","1484","","Server Hello, Change Cipher Spec"
"185","6.822770","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=518 Ack=1419 Win=130432 Len=0 TSval=495590114 TSecr=558398528"
"186","6.823059","216.58.208.170","10.169.156.72","TCP","","1484","","443  >  49515 [ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=558398528 TSecr=495590096 [TCP segment of a reassembled PDU]"
"187","6.823061","216.58.208.170","10.169.156.72","TCP","","1484","","443  >  49515 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=558398528 TSecr=495590096 [TCP segment of a reassembled PDU]"
"188","6.823089","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=518 Ack=4255 Win=128192 Len=0 TSval=495590115 TSecr=558398528"
"189","6.823221","10.169.156.72","216.58.208.170","TCP","","66","","[TCP Window Update] 49515  >  443 [ACK] Seq=518 Ack=4255 Win=131072 Len=0 TSval=495590115 TSecr=558398528"
"190","6.823458","216.58.208.170","10.169.156.72","TLSv1.3","","492","","Application Data"
"191","6.823486","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=518 Ack=4681 Win=130624 Len=0 TSval=495590115 TSecr=558398528"
"192","6.824445","172.25.1.1","10.169.156.72","DNS","216.58.209.35","129","fonts.gstatic.com","Standard query response 0xfe24 A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 216.58.209.35"
"193","6.825478","10.169.156.72","216.58.209.35","QUIC","","1292","","Initial, DCID=eea4c7a090f6d9a9, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PADDING, PING"
"194","6.826889","193.206.135.77","10.169.156.72","TCP","","74","","443  >  49517 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=677026810 TSecr=495590114 WS=256"
"195","6.826941","10.169.156.72","193.206.135.77","TCP","","66","","49517  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=495590119 TSecr=677026810"
"196","6.827173","10.169.156.72","193.206.135.77","TLSv1.3","","583","","Client Hello"
"197","6.827932","193.206.135.77","10.169.156.72","TCP","","74","","443  >  49518 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=677026811 TSecr=495590114 WS=256"
"198","6.827987","10.169.156.72","193.206.135.77","TCP","","66","","49518  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=495590120 TSecr=677026811"
"199","6.828164","10.169.156.72","193.206.135.77","TLSv1.3","","583","","Client Hello"
"200","6.829144","10.169.156.72","216.58.208.170","TLSv1.3","","130","","Change Cipher Spec, Application Data"
"201","6.829272","10.169.156.72","216.58.208.170","TLSv1.3","","158","","Application Data"
"202","6.829388","10.169.156.72","216.58.208.170","TLSv1.3","","354","","Application Data"
"203","6.829407","10.169.156.72","216.58.208.170","TLSv1.3","","386","","Application Data"
"204","6.831788","216.58.208.170","10.169.156.72","TLSv1.3","","674","","Application Data, Application Data"
"205","6.831791","216.58.208.170","10.169.156.72","TCP","","66","","443  >  49515 [ACK] Seq=5289 Ack=1282 Win=68864 Len=0 TSval=558398538 TSecr=495590121"
"206","6.831841","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=1282 Ack=5289 Win=130432 Len=0 TSval=495590123 TSecr=558398538"
"207","6.831973","10.169.156.72","216.58.208.170","TLSv1.3","","97","","Application Data"
"208","6.832350","216.58.208.170","10.169.156.72","TLSv1.3","","97","","Application Data"
"209","6.832383","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=1313 Ack=5320 Win=131008 Len=0 TSval=495590123 TSecr=558398539"
"210","6.832928","193.206.135.77","10.169.156.72","TCP","","66","","443  >  49517 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=677026816 TSecr=495590119"
"211","6.834106","193.206.135.77","10.169.156.72","TCP","","66","","443  >  49518 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=677026818 TSecr=495590120"
"212","6.835026","193.206.135.77","10.169.156.72","TLSv1.3","","1514","","Server Hello, Change Cipher Spec"
"213","6.835062","10.169.156.72","193.206.135.77","TCP","","66","","49517  >  443 [ACK] Seq=518 Ack=1449 Win=130304 Len=0 TSval=495590125 TSecr=677026817"
"214","6.835402","193.206.135.77","10.169.156.72","TCP","","1514","","443  >  49517 [ACK] Seq=1449 Ack=518 Win=66816 Len=1448 TSval=677026817 TSecr=495590119 [TCP segment of a reassembled PDU]"
"215","6.835405","193.206.135.77","10.169.156.72","TCP","","1514","","443  >  49517 [ACK] Seq=2897 Ack=518 Win=66816 Len=1448 TSval=677026817 TSecr=495590119 [TCP segment of a reassembled PDU]"
"216","6.835427","10.169.156.72","193.206.135.77","TCP","","66","","49517  >  443 [ACK] Seq=518 Ack=4345 Win=128128 Len=0 TSval=495590126 TSecr=677026817"
"217","6.835446","10.169.156.72","193.206.135.77","TCP","","66","","[TCP Window Update] 49517  >  443 [ACK] Seq=518 Ack=4345 Win=131072 Len=0 TSval=495590126 TSecr=677026817"
"218","6.835571","193.206.135.77","10.169.156.72","TLSv1.3","","691","","Application Data"
"219","6.835600","10.169.156.72","193.206.135.77","TCP","","66","","49517  >  443 [ACK] Seq=518 Ack=4970 Win=130432 Len=0 TSval=495590126 TSecr=677026817"
"220","6.836692","193.206.135.77","10.169.156.72","TLSv1.3","","1514","","Server Hello, Change Cipher Spec"
"221","6.836722","10.169.156.72","193.206.135.77","TCP","","66","","49518  >  443 [ACK] Seq=518 Ack=1449 Win=130304 Len=0 TSval=495590127 TSecr=677026819"
"222","6.837101","193.206.135.77","10.169.156.72","TCP","","1514","","443  >  49518 [ACK] Seq=1449 Ack=518 Win=66816 Len=1448 TSval=677026819 TSecr=495590120 [TCP segment of a reassembled PDU]"
"223","6.837104","193.206.135.77","10.169.156.72","TCP","","1514","","443  >  49518 [ACK] Seq=2897 Ack=518 Win=66816 Len=1448 TSval=677026819 TSecr=495590120 [TCP segment of a reassembled PDU]"
"224","6.837151","10.169.156.72","193.206.135.77","TCP","","66","","49518  >  443 [ACK] Seq=518 Ack=4345 Win=128128 Len=0 TSval=495590127 TSecr=677026819"
"225","6.837670","193.206.135.77","10.169.156.72","TLSv1.3","","691","","Application Data"
"226","6.837692","10.169.156.72","193.206.135.77","TCP","","66","","49518  >  443 [ACK] Seq=518 Ack=4970 Win=127488 Len=0 TSval=495590127 TSecr=677026819"
"227","6.837928","10.169.156.72","193.206.135.77","TCP","","66","","[TCP Window Update] 49518  >  443 [ACK] Seq=518 Ack=4970 Win=131072 Len=0 TSval=495590128 TSecr=677026819"
"228","6.838775","216.58.208.170","10.169.156.72","TCP","","66","","443  >  49515 [ACK] Seq=5320 Ack=1313 Win=68864 Len=0 TSval=558398546 TSecr=495590123"
"229","6.840022","142.250.184.118","10.169.156.72","TLSv1.3","","1484","","Server Hello, Change Cipher Spec"
"230","6.840060","10.169.156.72","142.250.184.118","TCP","","66","","49516  >  443 [ACK] Seq=518 Ack=1419 Win=130432 Len=0 TSval=495590130 TSecr=3723984380"
"231","6.840515","142.250.184.118","10.169.156.72","TCP","","1484","","443  >  49516 [ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=3723984380 TSecr=495590111 [TCP segment of a reassembled PDU]"
"232","6.840518","142.250.184.118","10.169.156.72","TCP","","1484","","443  >  49516 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=3723984380 TSecr=495590111 [TCP segment of a reassembled PDU]"
"233","6.840519","142.250.184.118","10.169.156.72","TLSv1.3","","559","","Application Data"
"234","6.840548","10.169.156.72","142.250.184.118","TCP","","66","","49516  >  443 [ACK] Seq=518 Ack=4748 Win=127104 Len=0 TSval=495590130 TSecr=3723984380"
"235","6.841209","10.169.156.72","142.250.184.118","TCP","","66","","[TCP Window Update] 49516  >  443 [ACK] Seq=518 Ack=4748 Win=131072 Len=0 TSval=495590131 TSecr=3723984380"
"236","6.845973","10.169.156.72","193.206.135.77","TLSv1.3","","130","","Change Cipher Spec, Application Data"
"237","6.846192","10.169.156.72","193.206.135.77","TLSv1.3","","130","","Change Cipher Spec, Application Data"
"238","6.846353","10.169.156.72","193.206.135.77","TLSv1.3","","1038","","Application Data"
"239","6.846404","10.169.156.72","193.206.135.77","TLSv1.3","","1044","","Application Data"
"240","6.850558","10.169.156.72","142.250.184.118","TLSv1.3","","130","","Change Cipher Spec, Application Data"
"241","6.850730","10.169.156.72","142.250.184.118","TLSv1.3","","158","","Application Data"
"242","6.850836","10.169.156.72","142.250.184.118","TLSv1.3","","748","","Application Data"
"243","6.852859","193.206.135.77","10.169.156.72","TCP","","66","","443  >  49517 [ACK] Seq=4970 Ack=1554 Win=69632 Len=0 TSval=677026836 TSecr=495590135"
"244","6.853242","193.206.135.77","10.169.156.72","TCP","","66","","443  >  49518 [ACK] Seq=4970 Ack=1560 Win=69632 Len=0 TSval=677026836 TSecr=495590135"
"245","6.853245","193.206.135.77","10.169.156.72","TLSv1.3","","805","","Application Data, Application Data"
"246","6.853246","193.206.135.77","10.169.156.72","TLSv1.3","","805","","Application Data, Application Data"
"247","6.853282","10.169.156.72","193.206.135.77","TCP","","66","","49518  >  443 [ACK] Seq=1560 Ack=5709 Win=130304 Len=0 TSval=495590141 TSecr=677026836"
"248","6.853305","10.169.156.72","193.206.135.77","TCP","","66","","49517  >  443 [ACK] Seq=1554 Ack=5709 Win=130304 Len=0 TSval=495590141 TSecr=677026836"
"249","6.853449","142.250.184.118","10.169.156.72","TLSv1.3","","674","","Application Data, Application Data"
"250","6.853485","10.169.156.72","142.250.184.118","TCP","","66","","49516  >  443 [ACK] Seq=1356 Ack=5356 Win=130432 Len=0 TSval=495590141 TSecr=3723984394"
"251","6.854083","10.169.156.72","142.250.184.118","TLSv1.3","","97","","Application Data"
"252","6.854422","142.250.184.118","10.169.156.72","TLSv1.3","","97","","Application Data"
"253","6.854459","10.169.156.72","142.250.184.118","TCP","","66","","49516  >  443 [ACK] Seq=1387 Ack=5387 Win=131008 Len=0 TSval=495590142 TSecr=3723984395"
"254","6.854802","142.250.184.118","10.169.156.72","TLSv1.3","","283","","Application Data"
