Date,VOL_DL,VOL_UL
23/10/2021 06:00,1688458745,231222846
23/10/2021 07:00,2607225561,285184554
23/10/2021 08:00,3967475078,430113033
23/10/2021 09:00,5255875026,582822761
23/10/2021 10:00,6034695543,735526579
23/10/2021 11:00,6491367180,809401105
23/10/2021 12:00,6641922244,796466513
23/10/2021 13:00,6887850091,742795153
23/10/2021 14:00,7614274354,782985745
23/10/2021 15:00,7766598316,837986863
23/10/2021 16:00,7640769747,852495652
23/10/2021 17:00,7586327587,908459905
23/10/2021 18:00,7955065751,922714085
23/10/2021 19:00,8056031455,917660108
23/10/2021 20:00,8132526761,876310555
23/10/2021 21:00,9353249490,845466662
23/10/2021 22:00,9672459675,779194962
23/10/2021 23:00,7984509417,671133215
24/10/2021 00:00,6877610317,581184315
24/10/2021 01:00,5093956826,422420533
24/10/2021 02:00,3433714765,367327196
24/10/2021 03:00,2270514264,301769671
24/10/2021 04:00,1591032889,247490141
24/10/2021 05:00,1261722179,224618098
24/10/2021 06:00,1316147165,205645384
24/10/2021 07:00,1803911608,218745773
24/10/2021 08:00,3083626582,326589661
24/10/2021 09:00,4717584635,494819861
24/10/2021 10:00,5642843094,612783531
24/10/2021 11:00,6135528965,745739775
24/10/2021 12:00,6625941469,764235078
24/10/2021 13:00,7229920185,755593573
24/10/2021 14:00,8059820511,791281767
24/10/2021 15:00,8207605101,820857137
24/10/2021 16:00,8434226038,875877177
24/10/2021 17:00,8390421048,890008023
24/10/2021 18:00,9749084946,960904985
24/10/2021 19:00,9781034742,944195422
24/10/2021 20:00,9202872489,916932179
24/10/2021 21:00,11352479239,929293654
24/10/2021 22:00,11439123712,898140662
24/10/2021 23:00,9180698109,818286778
25/10/2021 00:00,6478412448,556186816
25/10/2021 01:00,3856670072,346565341
25/10/2021 02:00,2496342687,275133931
25/10/2021 03:00,1548336374,233414890
25/10/2021 04:00,1108392600,204167844
25/10/2021 05:00,1112075847,198450904
25/10/2021 06:00,1937189848,238936773
25/10/2021 07:00,3919167185,422476424
25/10/2021 08:00,6003574336,682514580
25/10/2021 09:00,6840115020,996508060
25/10/2021 10:00,6801905028,1108437362
25/10/2021 11:00,7141565116,1137663083
25/10/2021 12:00,7668926983,1145833880
25/10/2021 13:00,8095094179,1022546612
25/10/2021 14:00,8277299565,1120280715
25/10/2021 15:00,8227376208,1227233581
25/10/2021 16:00,8177884309,1252162204
25/10/2021 17:00,8421695232,1266511660
25/10/2021 18:00,8455844474,1187160046
25/10/2021 19:00,8144900971,1079021533
25/10/2021 20:00,8045450952,929652784
25/10/2021 21:00,8860988739,943363118
25/10/2021 22:00,9212668240,876327321
25/10/2021 23:00,8417281900,743447546
26/10/2021 00:00,6433824481,558764544
26/10/2021 01:00,3933962276,353644936
26/10/2021 02:00,2379536540,251296367
26/10/2021 03:00,1560968726,215777094
26/10/2021 04:00,1196884151,165747290
26/10/2021 05:00,1169161799,184976865
26/10/2021 06:00,2025199877,242793984
26/10/2021 07:00,4109837306,415797211
26/10/2021 08:00,6195313598,714478049
26/10/2021 09:00,6923822337,950860891
26/10/2021 10:00,6959864539,1090375622
26/10/2021 11:00,7093982516,1115759216
26/10/2021 12:00,7610372227,1126276644
26/10/2021 13:00,7999952726,1007994132
26/10/2021 14:00,8326535685,1139494616
26/10/2021 15:00,8369710831,1246551488
26/10/2021 16:00,8276900574,1230809521
26/10/2021 17:00,8619895747,1268053743
26/10/2021 18:00,8827945855,1221747434
26/10/2021 19:00,8573046826,1081162764
26/10/2021 20:00,8621501367,959648204
26/10/2021 21:00,10195504433,977034232
26/10/2021 22:00,10563656413,918059850
26/10/2021 23:00,8781944602,785132925
27/10/2021 00:00,6341831601,555851610
27/10/2021 01:00,3853884324,354327981
27/10/2021 02:00,2346719719,284073494
27/10/2021 03:00,1611908818,260249480
27/10/2021 04:00,1196485846,197012965
27/10/2021 05:00,1215446762,214358447
27/10/2021 06:00,2008064919,238127598
27/10/2021 07:00,3992484983,429709598
27/10/2021 08:00,6081391569,737571815
27/10/2021 09:00,6824366313,1017845151
27/10/2021 10:00,6973309321,1128402368
27/10/2021 11:00,7105791611,1169025857
27/10/2021 12:00,7685140734,1154099009
27/10/2021 13:00,7970392818,1048460141
27/10/2021 14:00,8272852621,1151309397
27/10/2021 15:00,8203871694,1233038038
27/10/2021 16:00,8269208435,1262381016
27/10/2021 17:00,8464017034,1286736900
27/10/2021 18:00,9355482991,1244683580
27/10/2021 19:00,9905741561,1108496584
27/10/2021 20:00,9715822461,1008846757
27/10/2021 21:00,10205157459,1016996276
27/10/2021 22:00,10471035521,963874397
27/10/2021 23:00,8197560554,772790813
28/10/2021 00:00,6184910060,567243014
28/10/2021 01:00,3794431131,360129763
28/10/2021 02:00,2364406004,276859737
28/10/2021 03:00,1516052064,230189455
28/10/2021 04:00,1132366085,211425827
28/10/2021 05:00,1113414653,221035764
28/10/2021 06:00,2012000248,257751592
28/10/2021 07:00,4060752355,426484785
28/10/2021 08:00,6109680273,711240687
28/10/2021 09:00,6929949920,986693766
28/10/2021 10:00,6974109873,1147007550
28/10/2021 11:00,7231826875,1177715005
28/10/2021 12:00,7594628774,1151883943
28/10/2021 13:00,7894795227,1012567296
28/10/2021 14:00,8142541707,1130002101
28/10/2021 15:00,8182415183,1240058782
28/10/2021 16:00,8176535167,1263680202
28/10/2021 17:00,8377692086,1242397779
28/10/2021 18:00,8354528834,1205565007
28/10/2021 19:00,8060696911,1090633334
28/10/2021 20:00,8095035698,970192025
28/10/2021 21:00,9008758094,936889476
28/10/2021 22:00,9292022477,887043042
28/10/2021 23:00,7973246177,726427997
29/10/2021 00:00,6251961021,544170747
29/10/2021 01:00,3890611046,368250911
29/10/2021 02:00,2427228506,288466324
29/10/2021 03:00,1572728650,234004841
29/10/2021 04:00,1222785306,214824060
29/10/2021 05:00,1251080182,199310824
29/10/2021 06:00,2036017773,239336795
29/10/2021 07:00,3961892200,415382365
29/10/2021 08:00,5853362050,700944776
29/10/2021 09:00,6650857118,981507948
29/10/2021 10:00,6771644732,1101245504
29/10/2021 11:00,7032222106,1165037703
29/10/2021 12:00,7461870144,1150061971
29/10/2021 13:00,7728744046,994046898
29/10/2021 14:00,8116273277,1078954784
29/10/2021 15:00,8108764394,1181051075
29/10/2021 16:00,8020631171,1166307705
29/10/2021 17:00,7994116045,1125662119
29/10/2021 18:00,7933795259,1131758503
29/10/2021 19:00,7468894202,926469066
29/10/2021 20:00,7370961906,830029320
29/10/2021 21:00,7796091946,806439302
29/10/2021 22:00,7982329884,749487340
29/10/2021 23:00,7266457279,666037925
30/10/2021 00:00,5976530227,522607520
30/10/2021 01:00,4194158685,375278852
30/10/2021 02:00,2785677191,282682773
30/10/2021 03:00,1922457014,235495331
30/10/2021 04:00,1434206605,201451413
30/10/2021 05:00,1272658045,187620228
30/10/2021 06:00,1653213773,195373190
30/10/2021 07:00,2383647372,259921280
30/10/2021 08:00,3643482805,381269175
30/10/2021 09:00,4946866161,537647494
30/10/2021 10:00,5659402107,691103340
30/10/2021 11:00,6014200242,761398481
30/10/2021 12:00,6287334253,759416083
30/10/2021 13:00,6561614270,713438408
30/10/2021 14:00,7134952138,729124308
30/10/2021 15:00,7970849174,785577162
30/10/2021 16:00,8138700505,802217140
30/10/2021 17:00,7836685906,835471376
30/10/2021 18:00,8691249545,887073783
30/10/2021 19:00,8981208354,863006217
30/10/2021 20:00,7610255491,794381835
30/10/2021 21:00,7797367464,772768686
30/10/2021 22:00,7963882303,730386467
30/10/2021 23:00,7149660826,617105709
31/10/2021 00:00,6107732528,525298275
31/10/2021 01:00,4604453065,412366129
